Date,TAVG ,TMAX ,TMIN ,PRCP ,SNOW ,SNWDh
1/1/2021,40,45,35,0.07,,0
1/2/2021,38,45,33,0.01,,0
1/3/2021,38,40,34,0.01,,0
1/4/2021,38,40,36,0.05,,0
1/5/2021,37,38,37,0.02,,0
1/6/2021,37,38,35,0.28,,0
1/7/2021,38,40,35,0.49,,0
1/8/2021,36,41,30,0.03,,0
1/9/2021,39,44,31,0,,0
1/10/2021,41,43,38,0.02,,0
1/11/2021,44,46,43,0.52,,0
1/12/2021,43,46,39,0.03,,0
1/13/2021,41,43,38,0.06,,0
1/14/2021,36,39,34,0,,0
1/15/2021,35,38,33,0,,0
1/16/2021,34,39,31,0.08,,0
1/17/2021,41,45,33,0.15,,0
1/18/2021,43,45,40,0.41,,0
1/19/2021,46,48,42,0.18,,0
1/20/2021,48,50,45,,,0
1/21/2021,45,50,39,,,
1/22/2021,42,44,33,,,
1/23/2021,38,41,34,,,
1/24/2021,36,42,31,,,
1/25/2021,36,43,26,,,
1/26/2021,41,45,38,,,
1/27/2021,42,45,36,,,
1/28/2021,39,42,37,,,
1/29/2021,42,48,35,,,
1/30/2021,33,35,30,,,
1/31/2021,32,36,27,0.01,,
2/1/2021,31,35,25,0,,0.4
2/2/2021,33,38,27,0.3,,0
2/3/2021,45,48,38,0.03,,0
2/4/2021,40,44,35,0.15,,0
2/5/2021,40,41,38,0.15,,0
2/6/2021,35,40,31,0.06,,0
2/7/2021,26,31,24,0.04,,0.4
2/8/2021,27,30,24,0,,0.4
2/9/2021,29,31,26,0,,0.4
2/10/2021,28,30,25,0,,0.4
2/11/2021,,33,17,0,,0.4
2/12/2021,,28,23,0,,0.4
2/13/2021,26,29,21,0,,0.4
2/14/2021,30,37,22,0.17,,0.4
2/15/2021,37,42,33,0.16,,0.4
2/16/2021,43,49,39,0.22,,0
2/17/2021,45,50,41,0.02,,0
2/18/2021,46,52,42,0.13,,0
2/19/2021,43,50,39,0.02,,0
2/20/2021,55,60,46,0,,0
2/21/2021,51,59,40,0,,0
2/22/2021,50,58,42,0,,0
2/23/2021,51,57,42,0,,0
2/24/2021,56,63,51,0,,0
2/25/2021,49,56,42,0,,0
2/26/2021,42,47,38,0,,0
2/27/2021,40,49,32,0,,0
2/28/2021,36,40,29,0,,0
3/1/2021,40,46,36,0,,0
3/2/2021,40,46,36,0,,0
3/3/2021,38,40,30,0,,0
3/4/2021,40,43,38,0.01,,0
3/5/2021,38,44,34,0,,0
3/6/2021,36,44,27,0,,0
3/7/2021,39,43,29,0,,0
3/8/2021,42,44,40,0.42,,0
3/9/2021,42,44,35,0,,0
3/10/2021,41,46,35,0.34,,0
3/11/2021,47,49,43,0.06,,0
3/12/2021,44,47,40,0.24,,0
3/13/2021,44,46,40,0.04,,0
3/14/2021,44,47,38,0.09,,0
3/15/2021,44,47,42,0,,0
3/16/2021,43,46,39,0.2,,0
3/17/2021,42,46,39,0,,0
3/18/2021,42,46,39,0.01,,0
3/19/2021,42,47,37,0,,0
3/20/2021,40,45,28,0,,0
3/21/2021,44,46,41,0,,0
3/22/2021,42,48,35,0,,0
3/23/2021,42,49,35,0,,0
3/24/2021,44,50,38,0,,0
3/25/2021,44,49,37,0.02,,0
3/26/2021,50,56,42,0.21,,0
3/27/2021,44,48,40,0,,0
3/28/2021,47,49,44,0.02,,0
3/29/2021,49,51,47,0,,0
3/30/2021,52,65,40,0,,0
3/31/2021,54,68,40,0,,0
4/1/2021,45,51,41,0,,0
4/2/2021,43,48,41,0,,0
4/3/2021,44,48,41,0.01,,0
4/4/2021,44,48,41,0.02,,0
4/5/2021,40,47,32,0.15,,0.4
4/6/2021,38,43,33,0.21,,0.4
4/7/2021,40,45,34,0.01,,0.4
4/8/2021,43,47,37,0,,0
4/9/2021,44,48,40,0.17,,0
4/10/2021,41,44,36,0.13,,0
4/11/2021,40,46,36,0.09,,0
4/12/2021,39,45,33,0.02,,0.4
4/13/2021,42,49,34,0,,0
4/14/2021,40,48,30,0.01,,0
4/15/2021,43,49,36,0,,0
4/16/2021,45,51,39,0,,0
4/17/2021,45,51,40,0,,0
4/18/2021,48,56,40,0,,0
4/19/2021,50,56,42,0,,0
4/20/2021,51,60,42,0,,0
4/21/2021,46,51,41,0,,0
4/22/2021,45,50,36,0,,0
4/23/2021,45,52,36,0,,0
4/24/2021,46,52,40,0,,0
4/25/2021,44,49,39,0,,0
4/26/2021,45,49,39,0,,0
4/27/2021,49,58,40,0,,0
4/28/2021,50,56,45,0.13,,0
4/29/2021,47,48,45,0.04,,0
4/30/2021,47,51,44,0.05,,0
5/1/2021,45,50,41,0.09,,0
5/2/2021,45,50,41,0,,0
5/3/2021,49,53,45,0.25,,0
5/4/2021,47,50,43,0.17,,0
5/5/2021,46,51,42,0.06,,0
5/6/2021,44,51,37,0,,0
5/7/2021,45,52,35,0,,0
5/8/2021,48,58,37,0.54,,0
5/9/2021,61,74,51,0.33,,0
5/10/2021,57,61,50,,,0
5/11/2021,54,60,45,,,
5/12/2021,52,57,46,,,
5/13/2021,53,59,46,,,
5/14/2021,49,52,46,,,
5/15/2021,49,55,45,,,
5/16/2021,51,56,46,,,
5/17/2021,51,57,45,,,
5/18/2021,51,56,44,,,
5/19/2021,52,58,45,,,
5/20/2021,53,60,45,,,
5/21/2021,53,56,51,,,
5/22/2021,50,53,46,,,
5/23/2021,51,56,47,,,
5/24/2021,52,56,47,,,
5/25/2021,51,56,47,,,
5/26/2021,51,55,48,,,
5/27/2021,51,56,48,,,
5/28/2021,53,59,43,,,
5/29/2021,52,57,47,,,
5/30/2021,54,60,50,,,
5/31/2021,56,64,49,,,
6/1/2021,64,72,56,0,,
6/2/2021,64,,57,0,,
6/3/2021,63,71,,0,,
6/4/2021,61,70,54,0,,
6/5/2021,57,,,0.24,,
6/6/2021,59,66,,0,,
6/7/2021,60,68,49,0,,
6/8/2021,64,72,56,0,,
6/9/2021,62,70,,0,,
6/10/2021,61,71,51,0,,
6/11/2021,59,63,,0,,
6/12/2021,59,63,,0,,
6/13/2021,60,66,50,0,,
6/14/2021,64,73,,0,,
6/15/2021,61,,,0,,
6/16/2021,70,79,,0,,
6/17/2021,71,82,,0,,
6/18/2021,66,71,61,0.41,,
6/19/2021,61,,,1.39,,
6/20/2021,60,,,1.57,,
6/21/2021,57,58,,0,,
6/22/2021,58,63,53,0.11,,
6/23/2021,56,59,,0,,
6/24/2021,57,,,0,,
6/25/2021,60,65,49,0,,
6/26/2021,64,69,58,0,,
6/27/2021,65,69,62,0,,
6/28/2021,65,,,0.07,,
6/29/2021,60,,,0.01,,
6/30/2021,58,60,55,1.1,,
7/1/2021,60,,58,0.06,,
7/2/2021,61,66,,0,,
7/3/2021,64,72,52,0,,
7/4/2021,63,68,,0.03,,
7/5/2021,62,67,58,0.05,,
7/6/2021,64,68,,0.04,,
7/7/2021,63,68,,0,,
7/8/2021,62,,,0,,
7/9/2021,60,65,52,0,,
7/10/2021,63,68,57,0,,
7/11/2021,65,,,0,,
7/12/2021,65,72,57,0,,
7/13/2021,64,67,,0,,
7/14/2021,64,69,62,0,,
7/15/2021,64,69,,0,,
7/16/2021,63,68,59,0,,
7/17/2021,66,74,,0,,
7/18/2021,66,,,0,,
7/19/2021,63,68,59,0,,
7/20/2021,65,70,,0,,
7/21/2021,66,73,55,0,,
7/22/2021,64,69,60,0,,
7/23/2021,64,,60,0,,
7/24/2021,68,74,62,0,,
7/25/2021,67,,,0.01,,
7/26/2021,66,72,60,0.02,,
7/27/2021,64,70,58,0.14,,
7/28/2021,63,68,,0.39,,
7/29/2021,63,67,58,0.2,,
7/30/2021,63,72,,0,,
7/31/2021,63,66,59,0.5,,
8/1/2021,62,65,,0.11,,
8/2/2021,60,66,,0,,
8/3/2021,59,66,,0.02,,
8/4/2021,64,69,58,0,,
8/5/2021,65,72,57,0,,
8/6/2021,65,68,,0.08,,
8/7/2021,62,69,,0.39,,
8/8/2021,63,,,0.31,,
8/9/2021,63,,59,0.33,,
8/10/2021,63,,,0.68,,
8/11/2021,63,70,55,0,,
8/12/2021,63,68,,0,,
8/13/2021,64,,58,0,,
8/14/2021,66,69,63,0,,
8/15/2021,65,71,60,0,,
8/16/2021,61,,,0.03,,
8/17/2021,60,63,59,0,,
8/18/2021,63,67,59,0.08,,
8/19/2021,62,65,,0,,
8/20/2021,64,68,57,0.08,,
8/21/2021,66,72,,0,,
8/22/2021,64,67,62,0.83,,
8/23/2021,65,69,62,0.1,,
8/24/2021,63,67,,0,,
8/25/2021,62,,58,0,,
8/26/2021,62,67,57,0.02,,
8/27/2021,62,67,58,0,,
8/28/2021,63,66,60,0.09,,
8/29/2021,62,,60,0,,
8/30/2021,63,68,,0.01,,
8/31/2021,61,,58,0,,
9/1/2021,62,,,,,
9/2/2021,60,65,,0,,
9/3/2021,60,63,54,0,,
9/4/2021,61,66,58,0,,
9/5/2021,62,69,57,0,,
9/6/2021,63,70,,0,,
9/7/2021,67,77,57,0,,
9/8/2021,69,78,,0,,
9/9/2021,67,77,,0,,
9/10/2021,65,71,61,0,,
9/11/2021,65,67,62,0,,
9/12/2021,63,66,,0.02,,
9/13/2021,61,,56,0,,
9/14/2021,64,70,,0,,
9/15/2021,63,67,,0.07,,
9/16/2021,62,67,,0.07,,
9/17/2021,61,68,,0,,
9/18/2021,62,69,51,0,,
9/19/2021,61,66,,0,,
9/20/2021,59,63,,0,,
