STATION,NAME,DATE,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN
USC00042706,"EL CAJON, CA US",1/1/2006,,0.14,0,0,64,51
USC00042706,"EL CAJON, CA US",1/2/2006,,0.48,0,0,64,51
USC00042706,"EL CAJON, CA US",1/3/2006,,0,0,0,64,45
USC00042706,"EL CAJON, CA US",1/4/2006,,0,0,0,82,43
USC00042706,"EL CAJON, CA US",1/5/2006,,0,0,0,86,45
USC00042706,"EL CAJON, CA US",1/6/2006,,0,0,0,89,46
USC00042706,"EL CAJON, CA US",1/7/2006,,0,0,0,72,44
USC00042706,"EL CAJON, CA US",1/8/2006,,0,0,0,70,45
USC00042706,"EL CAJON, CA US",1/9/2006,,0,0,0,79,70
USC00042706,"EL CAJON, CA US",1/10/2006,,0,0,0,79,41
USC00042706,"EL CAJON, CA US",1/11/2006,,0,0,0,73,39
USC00042706,"EL CAJON, CA US",1/12/2006,,0,0,0,73,43
USC00042706,"EL CAJON, CA US",1/13/2006,,0,0,0,72,43
USC00042706,"EL CAJON, CA US",1/14/2006,,0,0,0,66,50
USC00042706,"EL CAJON, CA US",1/15/2006,,0,0,0,65,45
USC00042706,"EL CAJON, CA US",1/16/2006,,0,0,0,66,37
USC00042706,"EL CAJON, CA US",1/17/2006,,0,0,0,72,36
USC00042706,"EL CAJON, CA US",1/18/2006,,0,0,0,67,38
USC00042706,"EL CAJON, CA US",1/19/2006,,0,0,0,67,38
USC00042706,"EL CAJON, CA US",1/20/2006,,0,0,0,69,40
USC00042706,"EL CAJON, CA US",1/21/2006,,0,0,0,69,33
USC00042706,"EL CAJON, CA US",1/22/2006,,0,0,0,73,34
USC00042706,"EL CAJON, CA US",1/23/2006,,0,0,0,73,37
USC00042706,"EL CAJON, CA US",1/24/2006,,0,0,0,73,40
USC00042706,"EL CAJON, CA US",1/25/2006,,0,0,0,65,41
USC00042706,"EL CAJON, CA US",1/26/2006,,0,0,0,66,40
USC00042706,"EL CAJON, CA US",1/27/2006,,0,0,0,64,43
USC00042706,"EL CAJON, CA US",1/28/2006,,0,0,0,68,39
USC00042706,"EL CAJON, CA US",1/29/2006,,0,0,0,67,40
USC00042706,"EL CAJON, CA US",1/30/2006,,0,0,0,68,42
USC00042706,"EL CAJON, CA US",1/31/2006,,0,0,0,67,49
USC00042706,"EL CAJON, CA US",4/1/2006,,0,0,0,69,51
USC00042706,"EL CAJON, CA US",4/2/2006,,0,0,0,74,44
USC00042706,"EL CAJON, CA US",4/3/2006,,0,0,0,,
USC00042706,"EL CAJON, CA US",4/4/2006,,0,0,0,78,44
USC00042706,"EL CAJON, CA US",4/5/2006,,1.2,0,0,71,51
USC00042706,"EL CAJON, CA US",4/6/2006,,0,0,0,71,46
USC00042706,"EL CAJON, CA US",4/7/2006,,0,0,0,68,43
USC00042706,"EL CAJON, CA US",4/8/2006,,0,0,0,74,44
USC00042706,"EL CAJON, CA US",4/9/2006,,0,0,0,73,44
USC00042706,"EL CAJON, CA US",4/10/2006,,0,0,0,70,47
USC00042706,"EL CAJON, CA US",4/11/2006,,0,0,0,80,47
USC00042706,"EL CAJON, CA US",4/12/2006,,0,0,0,75,47
USC00042706,"EL CAJON, CA US",4/13/2006,,0,0,0,89,47
USC00042706,"EL CAJON, CA US",4/14/2006,,0.1,0,0,88,57
USC00042706,"EL CAJON, CA US",4/15/2006,,0.49,0,0,88,55
USC00042706,"EL CAJON, CA US",4/16/2006,,0,0,0,88,53
USC00042706,"EL CAJON, CA US",4/17/2006,,0.01,0,0,88,53
USC00042706,"EL CAJON, CA US",4/18/2006,,0,0,0,88,45
USC00042706,"EL CAJON, CA US",4/19/2006,,0,0,0,81,50
USC00042706,"EL CAJON, CA US",4/20/2006,,0,0,0,81,49
USC00042706,"EL CAJON, CA US",4/21/2006,,0,0,0,75,55
USC00042706,"EL CAJON, CA US",4/22/2006,,0,0,0,75,55
USC00042706,"EL CAJON, CA US",4/23/2006,,0.06,0,0,66,50
USC00042706,"EL CAJON, CA US",4/24/2006,,0.04,0,0,70,46
USC00042706,"EL CAJON, CA US",4/25/2006,,0,0,0,62,50
USC00042706,"EL CAJON, CA US",4/26/2006,,0,0,0,67,50
USC00042706,"EL CAJON, CA US",4/27/2006,,0,0,0,67,50
USC00042706,"EL CAJON, CA US",4/28/2006,,0,0,0,66,55
USC00042706,"EL CAJON, CA US",4/29/2006,,0,0,0,76,53
USC00042706,"EL CAJON, CA US",4/30/2006,,0,0,0,79,53
USC00042706,"EL CAJON, CA US",5/1/2006,,0,0,0,80,53
USC00042706,"EL CAJON, CA US",5/2/2006,,0,0,0,75,59
USC00042706,"EL CAJON, CA US",5/3/2006,,0,0,0,75,57
USC00042706,"EL CAJON, CA US",5/4/2006,,0,0,0,69,52
USC00042706,"EL CAJON, CA US",5/5/2006,,0,0,0,68,54
USC00042706,"EL CAJON, CA US",5/6/2006,,0,0,0,73,56
USC00042706,"EL CAJON, CA US",5/7/2006,,0,0,0,75,56
USC00042706,"EL CAJON, CA US",5/8/2006,,0,0,0,75,57
USC00042706,"EL CAJON, CA US",5/9/2006,,0,0,0,72,57
USC00042706,"EL CAJON, CA US",5/10/2006,,0,0,0,80,57
USC00042706,"EL CAJON, CA US",5/11/2006,,0,0,0,82,57
USC00042706,"EL CAJON, CA US",5/12/2006,,0,0,0,81,57
USC00042706,"EL CAJON, CA US",5/13/2006,,0,0,0,76,60
USC00042706,"EL CAJON, CA US",5/14/2006,,0,0,0,77,54
USC00042706,"EL CAJON, CA US",5/15/2006,,0,0,0,78,58
USC00042706,"EL CAJON, CA US",5/16/2006,,0,0,0,80,56
USC00042706,"EL CAJON, CA US",5/17/2006,,0,0,0,78,63
USC00042706,"EL CAJON, CA US",5/18/2006,,0,0,0,79,61
USC00042706,"EL CAJON, CA US",5/19/2006,,0,0,0,80,60
USC00042706,"EL CAJON, CA US",5/20/2006,,0,0,0,81,59
USC00042706,"EL CAJON, CA US",5/21/2006,,0,0,0,81,58
USC00042706,"EL CAJON, CA US",5/22/2006,,0.72,0,0,82,54
USC00042706,"EL CAJON, CA US",5/23/2006,,0,0,0,81,52
USC00042706,"EL CAJON, CA US",5/24/2006,,0,0,0,88,52
USC00042706,"EL CAJON, CA US",5/25/2006,,0,0,0,88,52
USC00042706,"EL CAJON, CA US",5/26/2006,,0,0,0,74,59
USC00042706,"EL CAJON, CA US",5/27/2006,,0,0,0,74,59
USC00042706,"EL CAJON, CA US",5/28/2006,,0,0,0,78,51
USC00042706,"EL CAJON, CA US",5/29/2006,,0,0,0,81,50
USC00042706,"EL CAJON, CA US",5/30/2006,,0,0,0,85,50
USC00042706,"EL CAJON, CA US",5/31/2006,,0,0,0,88,50
USC00042706,"EL CAJON, CA US",6/1/2006,,0,0,0,86,60
USC00042706,"EL CAJON, CA US",6/2/2006,,0,0,0,94,57
USC00042706,"EL CAJON, CA US",6/3/2006,,0,0,0,100,54
USC00042706,"EL CAJON, CA US",6/4/2006,,0,0,0,100,57
USC00042706,"EL CAJON, CA US",6/5/2006,,0,0,0,100,57
USC00042706,"EL CAJON, CA US",6/6/2006,,0,0,0,69,62
USC00042706,"EL CAJON, CA US",6/7/2006,,0,0,0,74,62
USC00042706,"EL CAJON, CA US",6/8/2006,,0,0,0,77,62
USC00042706,"EL CAJON, CA US",6/9/2006,,0,0,0,77,62
USC00042706,"EL CAJON, CA US",6/10/2006,,0,0,0,77,59
USC00042706,"EL CAJON, CA US",6/11/2006,,0,0,0,77,58
USC00042706,"EL CAJON, CA US",6/12/2006,,0,0,0,80,60
USC00042706,"EL CAJON, CA US",6/13/2006,,0,0,0,84,60
USC00042706,"EL CAJON, CA US",6/14/2006,,0,0,0,87,55
USC00042706,"EL CAJON, CA US",6/15/2006,,0,0,0,,55
USC00042706,"EL CAJON, CA US",6/16/2006,,0,0,0,93,55
USC00042706,"EL CAJON, CA US",6/17/2006,,0,0,0,93,55
USC00042706,"EL CAJON, CA US",6/18/2006,,0,0,0,93,55
USC00042706,"EL CAJON, CA US",6/19/2006,,0,0,0,86,63
USC00042706,"EL CAJON, CA US",6/20/2006,,0,0,0,87,63
USC00042706,"EL CAJON, CA US",6/21/2006,,0,0,0,84,62
USC00042706,"EL CAJON, CA US",6/22/2006,,0,0,0,84,62
USC00042706,"EL CAJON, CA US",6/23/2006,,0,0,0,89,60
USC00042706,"EL CAJON, CA US",6/24/2006,,0,0,0,89,60
USC00042706,"EL CAJON, CA US",6/25/2006,,0,0,0,103,67
USC00042706,"EL CAJON, CA US",6/26/2006,,0,0,0,104,67
USC00042706,"EL CAJON, CA US",6/27/2006,,0,0,0,104,67
USC00042706,"EL CAJON, CA US",6/28/2006,,0,0,0,103,66
USC00042706,"EL CAJON, CA US",6/29/2006,,0,0,0,99,67
USC00042706,"EL CAJON, CA US",6/30/2006,,0,0,0,95,69
USC00042706,"EL CAJON, CA US",7/1/2006,,0,0,0,97,67
USC00042706,"EL CAJON, CA US",7/2/2006,,0,0,0,97,67
USC00042706,"EL CAJON, CA US",7/3/2006,,0,0,0,97,67
USC00042706,"EL CAJON, CA US",7/4/2006,,0,0,0,90,67
USC00042706,"EL CAJON, CA US",7/5/2006,,0,0,0,90,64
USC00042706,"EL CAJON, CA US",7/6/2006,,0,0,0,89,65
USC00042706,"EL CAJON, CA US",7/7/2006,,0,0,0,93,63
USC00042706,"EL CAJON, CA US",7/8/2006,,0,0,0,94,63
USC00042706,"EL CAJON, CA US",7/9/2006,,0,0,0,94,63
USC00042706,"EL CAJON, CA US",7/10/2006,,0,0,0,94,63
USC00042706,"EL CAJON, CA US",7/11/2006,,0,0,0,94,63
USC00042706,"EL CAJON, CA US",7/12/2006,,0,0,0,98,63
USC00042706,"EL CAJON, CA US",7/13/2006,,0,0,0,97,66
USC00042706,"EL CAJON, CA US",7/14/2006,,0,0,0,101,66
USC00042706,"EL CAJON, CA US",7/15/2006,,0,0,0,104,70
USC00042706,"EL CAJON, CA US",7/16/2006,,0,0,0,102,69
USC00042706,"EL CAJON, CA US",7/17/2006,,0,0,0,86,69
USC00042706,"EL CAJON, CA US",7/18/2006,,0,0,0,88,68
USC00042706,"EL CAJON, CA US",7/19/2006,,0,0,0,88,68
USC00042706,"EL CAJON, CA US",7/20/2006,,0,0,0,91,68
USC00042706,"EL CAJON, CA US",7/21/2006,,0,0,0,97,68
USC00042706,"EL CAJON, CA US",7/22/2006,,0,0,0,113,68
USC00042706,"EL CAJON, CA US",7/23/2006,,0,0,0,94,75
USC00042706,"EL CAJON, CA US",7/24/2006,,0,0,0,103,72
USC00042706,"EL CAJON, CA US",7/25/2006,,0,0,0,99,72
USC00042706,"EL CAJON, CA US",7/26/2006,,0,0,0,95,69
USC00042706,"EL CAJON, CA US",7/27/2006,,0,0,0,94,69
USC00042706,"EL CAJON, CA US",7/28/2006,,0,0,0,89,75
USC00042706,"EL CAJON, CA US",7/29/2006,,0,0,0,89,72
USC00042706,"EL CAJON, CA US",7/30/2006,,0,0,0,79,70
USC00042706,"EL CAJON, CA US",7/31/2006,,1.9,0,0,80,68
USC00042706,"EL CAJON, CA US",8/1/2006,,0,0,0,83,66
USC00042706,"EL CAJON, CA US",8/2/2006,,0,0,0,83,66
USC00042706,"EL CAJON, CA US",8/3/2006,,0,0,0,83,66
USC00042706,"EL CAJON, CA US",8/4/2006,,0.1,0,0,83,65
USC00042706,"EL CAJON, CA US",8/5/2006,,0,0,0,85,58
USC00042706,"EL CAJON, CA US",8/6/2006,,0,0,0,85,59
USC00042706,"EL CAJON, CA US",8/7/2006,,0,0,0,87,64
USC00042706,"EL CAJON, CA US",8/8/2006,,0,0,0,89,61
USC00042706,"EL CAJON, CA US",8/9/2006,,0,0,0,94,61
USC00042706,"EL CAJON, CA US",8/10/2006,,0,0,0,87,68
USC00042706,"EL CAJON, CA US",8/11/2006,,0,0,0,90,68
USC00042706,"EL CAJON, CA US",8/12/2006,,0,0,0,90,68
USC00042706,"EL CAJON, CA US",8/13/2006,,0,0,0,89,65
USC00042706,"EL CAJON, CA US",8/14/2006,,0,0,0,90,64
USC00042706,"EL CAJON, CA US",8/15/2006,,0,0,0,89,63
USC00042706,"EL CAJON, CA US",8/16/2006,,0,0,0,89,62
USC00042706,"EL CAJON, CA US",8/17/2006,,0,0,0,89,61
USC00042706,"EL CAJON, CA US",8/18/2006,,0,0,0,90,62
USC00042706,"EL CAJON, CA US",8/19/2006,,0,0,0,89,62
USC00042706,"EL CAJON, CA US",8/20/2006,,0,0,0,86,62
USC00042706,"EL CAJON, CA US",8/21/2006,,0,0,0,88,69
USC00042706,"EL CAJON, CA US",8/22/2006,,0,0,0,91,64
USC00042706,"EL CAJON, CA US",8/23/2006,,0,0,0,97,64
USC00042706,"EL CAJON, CA US",8/24/2006,,0,0,0,96,67
USC00042706,"EL CAJON, CA US",8/25/2006,,0,0,0,96,62
USC00042706,"EL CAJON, CA US",8/26/2006,,0,0,0,96,60
USC00042706,"EL CAJON, CA US",8/27/2006,,0,0,0,96,75
USC00042706,"EL CAJON, CA US",8/28/2006,,0,0,0,96,75
USC00042706,"EL CAJON, CA US",8/29/2006,,0,0,0,92,62
USC00042706,"EL CAJON, CA US",8/30/2006,,0,0,0,91,63
USC00042706,"EL CAJON, CA US",8/31/2006,,0,0,0,95,61
USC00042706,"EL CAJON, CA US",9/1/2006,,0,0,0,96,61
USC00042706,"EL CAJON, CA US",9/2/2006,,0,0,0,98,61
USC00042706,"EL CAJON, CA US",9/3/2006,,0,0,0,100,61
USC00042706,"EL CAJON, CA US",9/4/2006,,0,0,0,100,60
USC00042706,"EL CAJON, CA US",9/5/2006,,0,0,0,103,61
USC00042706,"EL CAJON, CA US",9/6/2006,,0,0,0,102,61
USC00042706,"EL CAJON, CA US",9/7/2006,,0,0,0,,
USC00042706,"EL CAJON, CA US",9/8/2006,,0,0,0,102,61
USC00042706,"EL CAJON, CA US",9/9/2006,,0,0,0,102,60
USC00042706,"EL CAJON, CA US",9/10/2006,,0,0,0,,64
USC00042706,"EL CAJON, CA US",9/11/2006,,0,0,0,92,61
USC00042706,"EL CAJON, CA US",9/12/2006,,0,0,0,93,63
USC00042706,"EL CAJON, CA US",9/13/2006,,0,0,0,92,64
